thefe|these
rwin|irwin
oftavo|octavo
datc|date
ftrengthens|strengthens
lamble|lambie
unwillingnefs|unwillingness
plic|plie
afpeft|aspect
ncat|neat
afperity|asperity
malef|males
phrafeology|phraseology
fafhioned|fashioned
crawf|craws
fubftituting|substituting
fufficicnt|sufficient
facf|facs
confolations|consolations
threefcore|threescore
quich|quiche
tync|tyne
deflroy|destroy
boolc|boole
prefbyters|presbyters
difplaced|displaced
fufpending|suspending
minoritv|minority
fina|final
exceffes|excesses
cven|even
largenefs|largeness
afine|asine
mcin|mein
mifts|mists
difpirited|dispirited
natons|nations
afrefh|afresh
aflaults|assaults
liine|hine
expedted|expected
roufleau|rousseau
fwellings|swellings
fpecify|specify
weftphalia|westphalia
hmit|limit
ong|long
rcticulum|reticulum
purfuers|pursuers
riental|oriental
prif|pris
belh|belli
lleut|lieut
flrongly|strongly
vank|yank
greafe|grease
presdt|preset
lifte|liste
adminiftering|administering
furvivor|survivor
mordon|moreton
waterf|waters
worfted|worsted
tranflating|translating
expencc|expence
blas|blase
bll|bill
liowever|however
copvright|copyright
moralitv|morality
mcrton|merton
ltalic|italic
phes|plies
flubs|stubs
veftige|vestige
forting|sorting
carcafe|carcase
origina|original
punimed|punished
clias|elias
diffent|dissent
illuftrating|illustrating
indifputably|indisputably
donian|etonian
fubjcct|subject
lberian|iberian
saitb|saith
ladj|lady
intcreft|interest
caffius|cassius
fteered|steered
lvon|lyon
springfeld|springfield
codem|eodem
fupplication|supplication
mufcovy|muscovy
dcfign|design
liying|living
asben|ashen
badnefs|badness
blifters|blisters
fauver|sauver
adminiflration|administration
enafted|enacted
fhocks|shocks
diflinguifhed|distinguished
difpofer|disposer
banf|bans
differtation|dissertation
furname|surname
ftray|stray
guillaumc|guillaume
defeft|defect
condtions|conditions
maffes|masses
collefted|collected
romanifts|romanists
mceting|meeting
venifon|venison
ereft|erect
faithlefs|faithless
salarv|salary
forter|sorter
busv|busy
ftability|stability
lycii|lych
fonge|songe
sced|seed
allaf|allas
oppreflive|oppressive
feeme|seeme
declenfion|declension
fignifie|signifie
bandc|bande
bcta|beta
evafion|evasion
statcs|states
ftale|stale
geseuschaft|gesellschaft
perfpicuous|perspicuous
olef|oles
deflroyed|destroyed
fultry|sultry
loek|lock
pars|paris
vells|yells
ultimatelv|ultimately
ftopping|stopping
fhaded|shaded
sharpc|sharpe
ticrra|tierra
inftantaneoufly|instantaneously
aurcus|aureus
chefnut|chesnut
ninc|nine
respeft|respect
flyle|style
cfpecially|especially
ecclef|eccles
rcis|reis
fhowers|showers
cbam|cham
encompafled|encompassed
maflacred|massacred
enthufiaft|enthusiast
plaifir|plaisir
harrifon|harrison
irim|irish
bife|bise
ife|life
fhirt|shirt
knowcth|knoweth
wilev|wiley
fabres|sabres
anticnt|antient
polc|pole
offian|ossian
defpot|despot
fatirical|satirical
fwiftly|swiftly
jufticc|justice
impoflibility|impossibility
fubflance|substance
relv|rely
diftindion|distinction
ral|oral
exiflence|existence
ftudioufly|studiously
homceopathy|homoeopathy
tracl|tract
scton|seton
afferting|asserting
hofle|hoste
wildnefs|wildness
fikh|sikh
beff|bess
dirc|dire
fhady|shady
popf|pops
burthenfome|burthensome
phofphoric|phosphoric
peft|pest
drefling|dressing
partcular|particular
pipc|pipe
swiff|swiss
chichestcr|chichester
fantaftical|fantastical
neglecl|neglect
effervefcence|effervescence
rati|ratio
pctri|petri
joff|joss
llot|ilot
mofque|mosque
defcents|descents
wcllesley|wellesley
kngdom|kingdom
elderlv|elderly
ecclcs|eccles
unfafe|unsafe
fufpence|suspence
profanenefs|profaneness
ftil|stil
suflex|sussex
prefervative|preservative
linf|lins
connefted|connected
destrov|destroy
alaf|alas
takng|taking
ftifled|stifled
fomctimes|sometimes
authorife|authorise
lchmann|lehmann
bshop|bishop
feaman|seaman
prefumptive|presumptive
fuitably|suitably
poftponed|postponed
rigoroufly|rigorously
mcre|mere
evi|evil
evervday|everyday
countrics|countries
efquires|esquires
fhipped|shipped
fujet|sujet
fentry|sentry
fhifting|shifting
mifreprefentations|misrepresentations
finter|sinter
remedv|remedy
faftion|faction
countres|countries
nouvclle|nouvelle
absolutelv|absolutely
firc|fire
llte|lite
hmes|limes
ciftern|cistern
difappears|disappears
starf|stars
ingcstion|ingestion
poffeffing|possessing
gerf|gers
conft|const
bibliothcca|bibliotheca
feafoned|seasoned
varicty|variety
pleafurable|pleasurable
truftee|trustee
adjufting|adjusting
feducing|seducing
dcutschland|deutschland
plavers|players
fanto|santo
footc|foote
hudfon|hudson
manfe|manse
fal|fall
lacr|laer
corrofive|corrosive
francaisc|francaise
refrefhments|refreshments
wcntworth|wentworth
indivifible|indivisible
eftimates|estimates
plcafure|pleasure
diftind|distinct
expreft|exprest
fighing|sighing
crufade|crusade
bruflels|brussels
confeffions|confessions
fuet|suet
alhum|allium
aminc|amine
niceft|nicest
ftaves|staves
lewdnefs|lewdness
difpos|dispos
bufh|bush
diftended|distended
hanscn|hansen
pubhshed|published
antc|ante
pift|pict
schift|schist
extraordinarv|extraordinary
molefted|molested
prefa|presa
hisf|hiss
objeftion|objection
hvpothesis|hypothesis
debafe|debase
difent|disent
kevs|keys
totallv|totally
embarrafs|embarrass
wimes|wishes
colleftion|collection
parfimony|parsimony
hadft|hadst
agcs|ages
intrufion|intrusion
ferrv|ferry
infantrv|infantry
repulfion|repulsion
obfcrve|observe
fimul|simul
wcrt|wert
bar|bari
scns|sens
unconfcious|unconscious
diflenting|dissenting
bufkin|buskin
elementarv|elementary
minutenefs|minuteness
pubhe|publie
bcrger|berger
rvan|ryan
hogfheads|hogsheads
filice|silice
lavifhed|lavished
haic|haie
affedtion|affection
viif|viis
cadem|eadem
lightf|lights
spansh|spanish
defignation|designation
socidte|societe
houfcs|houses
difcarded|discarded
bafin|basin
velocitv|velocity
lerc|lere
meetng|meeting
deifts|deists
phed|plied
themiftocles|themistocles
powerf|powers
mondc|monde
edted|edited
sumtcr|sumter
harlcy|harley
expanfe|expanse
canvafs|canvass
necd|need
telefcopes|telescopes
ftimulate|stimulate
kingslcy|kingsley
tcry|tery
oclober|october
sundcrland|sunderland
whec|whee
ftrewed|strewed
fluc|flue
confidercd|considered
errc|erre
liall|hall
defpite|despite
nofter|noster
senfible|sensible
vanifhing|vanishing
mifcarry|miscarry
glimpfe|glimpse
hstorcal|historical
clavey|clayey
refpecling|respecting
cafcade|cascade
ecclcsia|ecclesia
sofo|soso
unobferved|unobserved
cimc|cime
ncwbury|newbury
warehoufe|warehouse
affai|assai
frve|frye
deftrudtion|destruction
moralift|moralist
facrilege|sacrilege
tcchnic|technic
affecled|affected
liands|hands
lcal|leal
fympathize|sympathize
atcr|ater
fubfcribing|subscribing
tcmpore|tempore
grcnville|grenville
dauphin|dauphine
scif|seif
thefeus|theseus
bchalf|behalf
shapcd|shaped
fficers|officers
etaf|etas
funfhine|sunshine
vanc|vane
aflented|assented
stabilitv|stability
mavs|mays
protcstant|protestant
lodid|iodid
practcal|practical
lcelandic|icelandic
ftarts|starts
avres|ayres
dec|decl
fcrupuloufly|scrupulously
meffrs|messrs
entre|entree
paoh|paoli
vonne|yonne
lightnefs|lightness
susquchanna|susquehanna
poffefles|possesses
divifible|divisible
foolifhly|foolishly
crufades|crusades
paffionately|passionately
nccessary|necessary
foutherly|southerly
bofh|bosh
scction|section
difclaim|disclaim
lliad|iliad
stvles|styles
townfmen|townsmen
caufeway|causeway
chriflianity|christianity
eleft|elect
fmuggling|smuggling
californa|california
fsheries|fisheries
tendereft|tenderest
llnk|link
heavilv|heavily
verfa|versa
minuteft|minutest
malicioufly|maliciously
blafphemous|blasphemous
ordcr|order
volc|vole
form|forme
bclmont|belmont
fedan|sedan
spaniih|spanish
thvroid|thyroid
shoc|shoe
prnce|prince
mihtary|military
embafladors|embassadors
temporc|tempore
inclufive|inclusive
mil|mill
fhifted|shifted
wolscy|wolsey
conflantly|constantly
scarcelv|scarcely
acceffible|accessible
opennefs|openness
circumftanccs|circumstances
rccherches|recherches
moncy|money
preferver|preserver
fpire|spire
afur|asur
fewed|sewed
harafled|harassed
cryftalline|crystalline
eftimable|estimable
vacht|yacht
fouowing|following
difcouragements|discouragements
dfference|difference
fuperfluities|superfluities
arrav|array
totc|tote
honev|honey
ambufcade|ambuscade
uninterefting|uninteresting
proptcr|propter
concernng|concerning
fordell|foretell
difparity|disparity
ingenioufly|ingeniously
inclofing|inclosing
midfummer|midsummer
proftitution|prostitution
cotc|cote
holstcin|holstein
mornng|morning
antiocb|antioch
fatisfadion|satisfaction
inftitutes|institutes
evef|eves
lalk|laik
religon|religion
lnit|init
affars|affairs
cmil|emil
andovcr|andover
impoverifhed|impoverished
lcben|leben
spcech|speech
infurrections|insurrections
characteriftics|characteristics
svmbolic|symbolic
compreffion|compression
sicc|sice
treasurv|treasury
portf|ports
bcrn|bern
belifarius|belisarius
faifant|faisant
pau|paul
genefis|genesis
enfemble|ensemble
renc|rene
wakeficld|wakefield
feeke|seeke
fchoolmafter|schoolmaster
flones|stones
luil|lull
urcthral|urethral
aftronomer|astronomer
hufs|huss
tbing|thing
pubic|public
extraft|extract
fcholaftic|scholastic
arsc|arse
jufter|juster
fyllogifm|syllogism
gaft|gast
penfioners|pensioners
hosca|hosea
cenfuring|censuring
arundcl|arundel
pleafurc|pleasure
facks|sacks
pever|peyer
galc|gale
sicn|sien
chiof|chios
confefledly|confessedly
nte|note
shaftcsbury|shaftesbury
denfer|denser
nequc|neque
latl|lati
licenfed|licensed
qucstion|question
tulc|tule
coafl|coast
scemed|seemed
lorj|lory
loil|loll
efficiencv|efficiency
walfingham|walsingham
tranfparency|transparency
fpell|spell
myftic|mystic
funclion|function
base|basel
abfolve|absolve
ftances|stances
conftrain|constrain
perfectlv|perfectly
fidf|sids
forgetfulnefs|forgetfulness
uncs|unes
confpiring|conspiring
baftions|bastions
twecn|tween
motionlefs|motionless
acft|acct
xvii|xviii
interefls|interests
patb|path
specia|special
learnng|learning
claffic|classic
analvses|analyses
foffil|fossil
mcga|mega
fact|facti
demonftrable|demonstrable
foothed|soothed
flippery|slippery
rcar|rear
fcetor|foetor
expendture|expenditure
confidcred|considered
degrec|degree
ecclefia|ecclesia
celfus|celsus
floot|sloot
pulmonarv|pulmonary
leetures|lectures
picris|pieris
ownc|owne
numbcr|number
jolif|jolis
populoufnefs|populousness
arcc|arec
brafil|brasil
ftrictnefs|strictness
markct|market
condefcending|condescending
dodlrine|doctrine
fmelling|smelling
demefnes|demesnes
ceremonv|ceremony
tnder|tinder
focii|socii
objedl|object
southcy|southey
liast|hast
fpiral|spiral
hcmorrhagic|hemorrhagic
curac|curae
ides|idees
flruck|struck
profcription|proscription
rhvthm|rhythm
bodic|bodie
rcgia|regia
clergv|clergy
inceffantly|incessantly
remifs|remiss
aflifting|assisting
cced|coed
withftanding|withstanding
fattv|fatty
spics|spies
ath|lath
indifcriminate|indiscriminate
talians|italians
chck|click
bcntham|bentham
weslcyan|wesleyan
anvwhere|anywhere
elzabeth|elizabeth
difcretionary|discretionary
contrad|contract
fnit|snit
oncc|once
sectin|section
clafled|classed
liuman|human
refigning|resigning
preciselv|precisely
villicrs|villiers
eving|eying
ufcful|useful
sicur|sieur
llme|lime
frencb|french
edtor|editor
hgher|higher
artillerv|artillery
flieep|sheep
apcr|aper
weftmoreland|westmoreland
ftepped|stepped
fihi|filii
israel|israeli
confufions|confusions
affociate|associate
rufty|rusty
thoroughlv|thoroughly
fufed|fused
nght|night
latf|lats
strictlv|strictly
pves|pyes
punim|punish
difaffected|disaffected
fnows|snows
senc|sene
liear|hear
trces|trees
aflaulted|assaulted
intensitv|intensity
fuff|fuss
refemblances|resemblances
befieging|besieging
whitchead|whitehead
covcnt|covent
committce|committee
llluminati|illuminati
bcecher|beecher
temporarv|temporary
weaknefles|weaknesses
miraculoufly|miraculously
lll|loll
furf|furs
embaflador|embassador
lawfulnefs|lawfulness
corpufcles|corpuscles
aimc|aime
abbefs|abbess
touloufe|toulouse
attenton|attention
caufcs|causes
decreafes|decreases
relgion|religion
raifcd|raised
xavicr|xavier
efleem|esteem
bonif|bonis
tranfcript|transcript
russa|russia
chrstian|christian
unfinifhed|unfinished
morafs|morass
nch|inch
happincfs|happiness
fhrub|shrub
certifed|certified
utilitv|utility
sbort|short
affigning|assigning
fometimcs|sometimes
autbor|author
ncaring|nearing
leffened|lessened
equeftrian|equestrian
praved|prayed
commiflions|commissions
russan|russian
alface|alsace
liing|hing
confumes|consumes
clse|else
efcorted|escorted
lafh|lash
mayeft|mayest
emiflaries|emissaries
ftipulations|stipulations
acled|acted
cift|cist
scdgwick|sedgwick
untcr|unter
leyo|levo
partf|parts
sorrv|sorry
rcgis|regis
squarc|square
gatf|gats
gescllschaft|gesellschaft
expcnce|expence
wifdome|wisdome
fupplications|supplications
mook|shook
infpect|inspect
clofeft|closest
obfervcd|observed
difhoneft|dishonest
difpel|dispel
luif|luis
mifapplied|misapplied
prophefy|prophesy
grenvillc|grenville
fcorching|scorching
makc|make
fhout|shout
facerdotal|sacerdotal
eflences|essences
eftablifhes|establishes
cked|eked
romc|rome
aftonifh|astonish
extenfively|extensively
fpilt|spilt
lyov|lvov
fpeaketh|speaketh
herce|heroe
testimonv|testimony
marof|maros
sufan|susan
methucn|methuen
ftipulation|stipulation
plaifter|plaister
quclques|quelques
ftratagems|stratagems
mcadow|meadow
yearc|yeare
francefco|francesco
difarm|disarm
nouvcau|nouveau
gillespic|gillespie
noftrum|nostrum
tufcan|tuscan
fureties|sureties
establshed|established
gamc|game
bradf|brads
confanguinity|consanguinity
jewsh|jewish
ecolc|ecole
poltics|politics
trcatment|treatment
loathfome|loathsome
moffie|mossie
pharmacopceia|pharmacopoeia
oref|ores
fcrrara|ferrara
garrctt|garrett
bil|bill
grotefque|grotesque
pcro|pero
adminiftrator|administrator
fouvent|souvent
pofthumous|posthumous
phancy|pliancy
urcs|ures
scct|sect
leifs|leiss
ricr|rier
reftriction|restriction
nitc|nite
soul|soule
amcrican|american
bodilv|bodily
fots|sots
murrav|murray
apoflle|apostle
marfhall|marshall
mol|mole
caten|eaten
tcma|tema
notrc|notre
occafioning|occasioning
wfe|wife
profecutor|prosecutor
dorc|dore
seuing|selling
consequentlv|consequently
pcer|peer
urinarv|urinary
avah|ayah
invernefs|inverness
seflion|session
cerebcllar|cerebellar
cme|come
diffipate|dissipate
matchlefs|matchless
berrv|berry
sidcs|sides
thatre|theatre
fcorned|scorned
ofsa|ossa
dyfentery|dysentery
badlv|badly
svst|syst
earf|ears
tfar|tsar
liola|hola
aftonimment|astonishment
mcatus|meatus
indvidual|individual
shcpard|shepard
confidcrable|confiderable
llti|liti
edift|edict
muscum|museum
machinerv|machinery
conventon|convention
lnstances|instances
somcthing|something
charader|character
rejeft|reject
furveys|surveys
fadnefs|sadness
vifcid|viscid
applving|applying
homc|home
befeeching|beseeching
difmounted|dismounted
confiderablc|confiderable
getf|gets
fallied|sallied
flens|stens
admonifhed|admonished
perfeus|perseus
difprove|disprove
mctamorphic|metamorphic
neceffitated|necessitated
law|laws
augustc|auguste
far|fair
somcrs|somers
batb|bath
relifhed|relished
fonger|songer
rheumatifm|rheumatism
dufky|dusky
fcilicet|scilicet
ftair|stair
cbriftian|christian
avans|ayans
gucrra|guerra
dicl|dict
confeffing|confessing
ftag|stag
blackstonc|blackstone
loofc|loose
infurmountable|insurmountable
inferting|inserting
abbc|abbe
entr|entre
martin|martini
llss|liss
falis|salis
uprightnefs|uprightness
townfhip|township
nly|only
prefidents|presidents
fairf|fairs
fubjefted|subjected
smallncss|smallness
magnetifm|magnetism
includng|including
rcpublished|republished
sufficientlv|sufficiently
hberty|liberty
eftimating|estimating
quoquc|quoque
fonar|sonar
chefhire|cheshire
affort|assort
fonorous|sonorous
devaftations|devastations
dcfire|desire
correctnefs|correctness
aclual|actual
ftartled|startled
feam|seam
layas|lavas
onef|ones
pcar|pear
wildeft|wildest
finon|sinon
genuinenefs|genuineness
erfe|erse
sometmes|sometimes
pcarce|pearce
bofs|boss
ulyfles|ulysses
flide|slide
fearlefs|fearless
buildng|building
kennedv|kennedy
fedentary|sedentary
hatb|hath
falfity|falsity
felection|selection
cenfors|censors
confifls|consists
franchife|franchise
bentlcy|bentley
paftes|pastes
fliow|show
eafed|eased
gst|gist
fighed|sighed
rejefted|rejected
xlv|xliv
wcek|week
barnctt|barnett
operatons|operations
fyftematic|systematic
curus|eurus
fcal|feal
veftry|vestry
heavinefs|heaviness
ahmcdabad|ahmedabad
befidcs|besides
brif|bris
fpends|spends
pavments|payments
politcs|politics
moiftened|moistened
barrc|barre
britan|britain
accomplimed|accomplished
antichriftian|antichristian
pitf|pits
crefcent|crescent
bcar|bear
fedate|sedate
pleafeth|pleaseth
jurifdictions|jurisdictions
carring|earring
greved|greyed
confequencc|consequence
varnifh|varnish
cbange|change
townc|towne
secf|secs
ariftophanes|aristophanes
stcphenson|stephenson
bcntley|bentley
sheffeld|sheffield
subfiftence|subsistence
cheapeft|cheapest
xcnophon|xenophon
formf|forms
falve|salve
ufurping|usurping
gude|guide
inquifitors|inquisitors
bcale|beale
refiduum|residuum
majestv|majesty
humcrus|humerus
feance|seance
dodor|doctor
ldent|ident
fhaking|shaking
teaf|teas
impoft|impost
tces|toes
tranfmitting|transmitting
fuperficies|superficies
qualty|quality
nurfed|nursed
voni|yoni
purelv|purely
cuvicr|cuvier
commercal|commercial
wces|woes
liold|hold
practicallv|practically
diversitv|diversity
formaton|formation
lantem|lantern
falted|salted
lefquels|lesquels
fhutting|shutting
difcuffions|discussions
gnerale|generale
veftments|vestments
plafter|plaster
firmeft|firmest
cafk|cask
lmperatrice|imperatrice
infecled|infected
affiflance|assistance
thcophilus|theophilus
especally|especially
accofted|accosted
richtcr|richter
compofer|composer
sbow|show
benjamn|benjamin
speces|species
defperately|desperately
fooneft|soonest
land|lande
induded|inducted
predeceffor|predecessor
difmayed|dismayed
bafkets|baskets
prefidency|presidency
fpurs|spurs
fumma|summa
vanifhes|vanishes
bumes|bushes
steelc|steele
abovc|above
ofto|octo
retc|rete
dairv|dairy
difcuffed|discussed
brcslau|breslau
prefumes|presumes
decreafing|decreasing
cvlinder|cylinder
nocl|noel
loofely|loosely
clfe|elfe
trinitv|trinity
itcr|iter
kclley|kelley
aftors|actors
tereft|terest
fugars|sugars
ordinatc|ordinate
finf|fins
mufkets|muskets
rse|rise
hason|liason
likcwife|likewise
fowers|sowers
lifp|lisp
poffeffes|possesses
milhon|million
famion|fashion
lovelv|lovely
univcrsity|university
literallv|literally
albrccht|albrecht
glofs|gloss
rcctus|rectus
difclaimed|disclaimed
affize|assize
farnefe|farnese
hotteft|hottest
chichefter|chichester
falfehoods|falsehoods
mortalitv|mortality
nformaton|information
fteen|steen
ansclm|anselm
presc|prese
chichcster|chichester
paroxyfm|paroxysm
tafting|tasting
anaf|anas
top|topi
molicre|moliere
originc|origine
pad|paid
banimed|banished
comprefs|compress
harvev|harvey
jurifdiclion|jurisdiction
kinfmen|kinsmen
ariftides|aristides
vce|vice
fliews|shews
foient|soient
calvinifts|calvinists
proccedings|proceedings
cass|class
blafts|blasts
cranmcr|cranmer
crvstal|crystal
oscs|oses
tcrm|term
difaffection|disaffection
miniftration|ministration
prefcriptions|prescriptions
famenefs|sameness
forwardnefs|forwardness
confultations|consultations
profpedt|prospect
fupped|supped
ftan|stan
bofwell|boswell
diftancc|distance
virtuallv|virtually
filex|silex
ctude|etude
fhcker|flicker
bift|bist
gcrman|german
voluptuoufnefs|voluptuousness
anmal|animal
thcodosius|theodosius
tcstis|testis
illuftrates|illustrates
foftening|softening
janic|janie
interpofing|interposing
refervation|reservation
fpight|spight
vitac|vitae
fpelling|spelling
inncrvation|innervation
subfcription|subscription
ftatements|statements
equitv|equity
hmited|limited
ratber|rather
llves|lives
ftaying|staying
lieff|liefs
posie|poesie
ehot|eliot
fidci|fidei
balfam|balsam
twift|twist
individua|individual
largc|large
flaughtered|slaughtered
obfcurely|obscurely
defultory|desultory
bulding|building
afcendency|ascendency
ourfclves|ourselves
pat|pate
loeated|located
morcau|moreau
agrculture|agriculture
macpherfon|macpherson
remonftrate|remonstrate
fediment|sediment
inftrudtion|instruction
faviour|saviour
fieges|sieges
dcrs|ders
abftraction|abstraction
yearf|years
watchfulnefs|watchfulness
poltcs|politics
clise|elise
jsus|jesus
necr|neer
reccive|receive
qucftion|question
harfhnefs|harshness
thng|thing
admonifh|admonish
tucs|tues
muct|muet
colleft|collect
brifkly|briskly
foja|soja
herebv|hereby
priefls|priests
lncoming|incoming
brufh|brush
cercal|cereal
immanucl|immanuel
pulfes|pulses
unfkilful|unskilful
woodf|woods
pointf|points
lxil|lxii
teachng|teaching
francic|francie
chapclle|chapelle
relgious|religious
fubtlety|subtlety
rumes|rushes
embellifh|embellish
staton|station
whifpers|whispers
derbyfhire|derbyshire
leprofy|leprosy
fharing|sharing
condudl|conduct
bctwcen|between
defignedly|designedly
confumer|consumer
meflages|messages
fronf|frons
machiavclli|machiavelli
bafeft|basest
impoftors|impostors
companics|companies
seventv|seventy
rafes|rases
atmofpheric|atmospheric
hellefpont|hellespont
geniufes|geniuses
scheuing|schelling
rulc|rule
latn|latin
faws|saws
fwam|swam
tetc|tete
reprifals|reprisals
lrian|irian
estabhshed|established
law|laws
adminiftred|administred
refervoirs|reservoirs
bloomficld|bloomfield
demolifh|demolish
prioritv|priority
bumf|bums
pocm|poem
cyprefs|cypress
feers|seers
indecd|indeed
causc|cause
deftruftive|destructive
ferver|server
thinf|thins
civl|civil
htis|litis
ncel|noel
fanc|fane
veast|yeast
retf|rets
hifs|hiss
fmoothnefs|smoothness
femer|semer
muftard|mustard
bcer|boer
burc|bure
bedf|beds
winc|wine
sunf|suns
hcat|heat
fufpecl|suspect
sefe|sese
foberly|soberly
oyfter|oyster
oublic|oublie
fecluded|secluded
offf|offs
cbild|child
acutencss|acuteness
govcrnor|governor
biof|bios
thucydidcs|thucydides
associaton|association
flects|fleets
daic|daie
flid|slid
saturdav|saturday
animadverfions|animadversions
deift|deist
tbos|thos
oncs|ones
scicntific|scientific
affeclion|affection
toutcs|toutes
pcture|picture
tto|otto
micc|mice
mvstery|mystery
welleslcy|wellesley
teflimony|testimony
solelv|solely
fliut|shut
facrilegious|sacrilegious
publifher|publisher
ascb|asch
flumber|slumber
gentlv|gently
nomcn|nomen
femel|semel
lleutenant|lieutenant
liore|hore
fhipwreck|shipwreck
sprit|spirit
dehs|delis
livrc|livre
morofe|morose
follicited|sollicited
loeation|location
ded|died
bloodv|bloody
inftcad|instead
currencv|currency
decav|decay
mifa|misa
isracl|israel
elyse|elysee
obfervatory|observatory
vefpafian|vespasian
perfifting|persisting
defed|defied
paul|pauli
houschold|household
usng|using
carelefsly|carelessly
rooft|roost
studving|studying
tbin|thin
diocefes|dioceses
vaue|value
conscil|conseil
fulci|sulci
ofiris|osiris
ritc|rite
liete|hete
haraf|haras
blemifhes|blemishes
punifli|punish
lyfing|lysing
pauh|pauli
scne|sene
unreferved|unreserved
malonc|malone
defpifes|despises
abufive|abusive
sorc|sore
unaccuftomed|unaccustomed
defifted|desisted
diflrefs|distress
rcus|reus
paflport|passport
gelf|gels
accufes|accuses
ramfay|ramsay
vende|vendee
pcrm|perm
recompenfed|recompensed
diftinftly|distinctly
fuperintending|superintending
bufie|busie
pravers|prayers
lichficld|lichfield
fufi|sufi
refleftion|reflection
feing|seing
wakcfield|wakefield
abfcefs|abscess
perfwafion|perswasion
puftules|pustules
lincolnfhire|lincolnshire
efperance|esperance
copics|copies
blacknefs|blackness
loudeft|loudest
profefledly|professedly
direclion|direction
sahan|salian
clumfy|clumsy
analvtical|analytical
ncts|nets
electricitv|electricity
ilcum|ileum
grafping|grasping
partiallv|partially
continucd|continued
adhefion|adhesion
fouf|fous
propertes|properties
nouvellc|nouvelle
proftituted|prostituted
chcn|chen
ftimulating|stimulating
funday|sunday
considerablv|considerably
ftagnant|stagnant
missionarv|missionary
lalus|laius
omiflion|omission
lience|hence
calfornia|california
larye|larve
thcta|theta
commiferation|commiseration
fuppliant|suppliant
castlercagh|castlereagh
poho|polio
religous|religious
affedion|affection
partes|parties
wcstport|westport
ste|site
ame|aime
jeffe|jesse
motc|mote
uncleannefs|uncleanness
exafperate|exasperate
fpectacles|spectacles
scptuagint|septuagint
bookf|books
enlifted|enlisted
campagn|campaign
bifmuth|bismuth
colchefter|colchester
miflionaries|missionaries
tbar|thar
anabaptifts|anabaptists
confcquently|consequently
amcricana|americana
successfullv|successfully
presbvterian|presbyterian
brewstcr|brewster
accordinglv|accordingly
diredly|directly
subjed|subject
menfe|mense
presidcnt|president
refifts|resists
hcard|heard
reafoners|reasoners
diftrifts|districts
sommerf|sommers
lavv|lavy
prces|prices
parhament|parliament
acd|acid
fancv|fancy
mathcws|mathews
unhappincss|unhappiness
sieclc|siecle
adjuftment|adjustment
lshmael|ishmael
faithf|faiths
revsed|revised
fhafts|shafts
diffimilar|dissimilar
exad|exact
minf|mins
blackifh|blackish
inconfiftencies|inconsistencies
unconftitutional|unconstitutional
fpine|spine
fadts|facts
adminiftrations|administrations
llver|liver
safelv|safely
caucafus|caucasus
fleeves|sleeves
coarfer|coarser
fhoal|shoal
hecd|heed
hour|houri
impofts|imposts
micb|mich
fhifts|shifts
hvres|livres
commssion|commission
hcrs|hers
watf|wats
vallc|valle
feraglio|seraglio
sealf|seals
inftincts|instincts
bouard|bollard
ftraggling|straggling
dunf|duns
sant|saint
follicitous|sollicitous
parfley|parsley
ftabbed|stabbed
chelfea|chelsea
lanee|lance
propc|prope
feep|seep
chemift|chemist
prophefied|prophesied
mclcod|mcleod
snydcr|snyder
overfet|overset
diredt|direct
counterpoife|counterpoise
kifled|kissed
coronarv|coronary
faucy|saucy
defund|defunct
infured|insured
mckinlcy|mckinley
deputv|deputy
liare|hare
giddinefs|giddiness
treacheroufly|treacherously
fummoning|summoning
morca|morea
kentuckv|kentucky
burv|bury
gocth|goeth
hmen|limen
refigns|resigns
monkifh|monkish
saht|salit
strefs|stress
poftfcript|postscript
bittereft|bitterest
fourness|sourness
oncly|onely
tvne|tyne
linca|linea
tll|till
furrendering|surrendering
pavable|payable
liider|hider
oppositcs|opposites
stanlev|stanley
chryfoftom|chrysostom
ratf|rats
pagct|paget
paralvsis|paralysis
craffus|crassus
tranfaftion|transaction
nstance|instance
defmond|desmond
highwav|highway
fpoonful|spoonful
regularlv|regularly
acling|acting
lodide|iodide
fkirts|skirts
undifcovered|undiscovered
uttermoft|uttermost
redus|rectus
recognifed|recognised
jufticiary|justiciary
terrv|terry
hicr|hier
rcticular|reticular
shcs|shes
destinv|destiny
scnor|senor
detai|detail
lavard|layard
memors|memoirs
emplov|employ
italan|italian
coref|cores
assif|assis
malcs|males
inftrudtions|instructions
unchriftian|unchristian
fows|sows
fayctte|fayette
vews|yews
forfaking|forsaking
furgery|surgery
ralway|railway
guthric|guthrie
ferpentine|serpentine
ftandeth|standeth
probabilitv|probability
diftempered|distempered
beforc|before
fcss|fess
rders|orders
rednefs|redness
undifciplined|undisciplined
praftife|practise
modc|mode
eght|eight
jamcs|james
shal|shall
grecn|green
gravitv|gravity
dcbe|debe
rcason|reason
voga|yoga
tranfcribing|transcribing
tortoife|tortoise
reftores|restores
mortc|morte
liell|hell
languifhed|languished
cevlon|ceylon
camf|cams
republishcd|republished
mifguided|misguided
lyfander|lysander
effcct|effect
ftich|stich
liani|hani
munstcr|munster
far|farl
correcl|correct
poftpone|postpone
scrv|serv
provded|provided
afap|asap
marccllus|marcellus
brieff|briefs
commiflaries|commissaries
fmitten|smitten
evenng|evening
miftruft|mistrust
conceflions|concessions
princefles|princesses
vraic|vraie
fchooner|schooner
hosptal|hospital
condtion|condition
fert|ferte
